microherbivore_species;n;organ;role;phase
Aculus martialis;1;L;V;NA
Aculus masseei;5;L;V;NA
Aculus megacrinis;1;L;V;NA
Aculus meliloti;1;U;U;NA
Aculus minor;7;B;G;NA
Aculus minutus;6;X;G;NA
Aculus mogeri;6;L;V;NA
Aculus morivagrans;1;L;V;NA
Aculus mosoniensis;1;L;G;NA
Aculus myrsinites;6;L;G;NA
Aculus nigrus;1;L;V;NA
Aculus olearius;1;X;V;NA
Aculus ornatus;1;L;V;NA
Aculus parakarensis;1;L;V;NA
Aculus parvus;1;NA;I;NA
Aculus phyllocoptoides;2;L;V;NA
Aculus phytoptoides;1;NA;I;NA
Aculus pimpinellae;2;L;V;NA
Aculus podanthi;2;X;G;NA
Aculus prunellae;1;L;V;NA
Aculus pteleaevagrans;1;L;V;NA
Aculus pulaviensis;1;L;V;NA
Aculus pycnorhynchus;2;L;G;NA
Aculus reticulatus;1;NA;I;NA
Aculus retiolatus;7;L;G;NA
Aculus rigidus;2;L;G;NA
Aculus rubiae;2;L;G;NA
Aculus salicisalbae;4;L;G;NA
Aculus sarothamni;2;L;V;NA
Aculus schlechtendali;23;L;V;NA
Aculus schmardae;20;X;G;NA
Aculus schubarti;1;L;V;NA
Aculus scutellariae;2;L;G;NA
Aculus stachysi;1;L;V;NA
Aculus staphyleae;1;L;G;NA
Aculus tetanothrix;26;L;G;NA
Aculus teucrii;4;L;G;NA
Aculus thomasi;1;L;G;NA
Aculus tibialis;1;L;V;NA
Aculus tiliaevagrans;1;L;V;NA
Aculus truncatus;1;NA;I;NA
Aculus ulae;1;L;V;NA
Aculus unctus;1;L;V;NA
Aculus variabilis;4;L;G;NA
Aculus viburnifoliae;1;L;V;NA
Aculus xylostei;8;L;G;NA
Acumyia acericola;2;F;G;NA
Acupalpus meridianus;18;seeds;V;NA
Acuticauda erigerontis;1;L;G;NA
Acyrthosiphon auctum;6;L;V;NA
Acyrthosiphon auriculae;1;L;V;NA
Acyrthosiphon boreale;4;L;V;NA
Acyrthosiphon brachysiphon;1;L;V;NA
Acyrthosiphon brevicorne;1;L;V;NA
Acyrthosiphon calvulus;2;L;V;NA
Acyrthosiphon caraganae;13;L;V;NA
Acyrthosiphon chelidonii;1;L;V;NA
Acyrthosiphon cyparissiae;5;L;V;NA
Acyrthosiphon daphnidis;1;L;V;NA
Acyrthosiphon ericetorum;1;S;V;NA
Acyrthosiphon euphorbiae;14;L;V;NA
Acyrthosiphon genistae;1;S;V;NA
Acyrthosiphon ignotum;2;S;V;NA
Acyrthosiphon ilka;20;U;V;NA
Acyrthosiphon knechteli;1;L;V;NA
Acyrthosiphon kondoi;7;S;V;NA
Acyrthosiphon lactucae;5;S;V;NA
Acyrthosiphon loti;11;X;V;NA
Acyrthosiphon malvae;1;L;V;NA
Acyrthosiphon malvae agrimoniae;2;X;V;NA
Acyrthosiphon malvae malvae;30;L;V;NA
Acyrthosiphon malvae poterii;3;L;V;NA
Acyrthosiphon malvae potha;9;L;V;NA
Acyrthosiphon malvae rogersii;2;L;V;NA
Acyrthosiphon nigripes;6;L;V;NA
Acyrthosiphon parvum;9;S;V;NA
Acyrthosiphon pilosum;3;L;V;NA
Acyrthosiphon pisum;63;S;V;NA
Acyrthosiphon pisum ononis;7;S;V;NA
Acyrthosiphon porrifolii;1;S;V;NA
Acyrthosiphon primulae;4;L;V;NA
Acyrthosiphon scariolae;5;X;V;NA
Acyrthosiphon svalbardicum;1;L;V;NA
Acyrthosiphon thracicum;2;L;V;NA
Adactylidium gynaikothripsi;1;NA;Pre;NA
Adactylotis contaminaria;1;L;V;NA
Adactylotis gesticularia;2;L;V;NA
Adaina microdactyla;1;S;G;NA
Adalbertia castiliaria;3;L;V;NA
Adarrus bellevoyei;1;L;V;NA
Adarrus exornatus;1;L;V;NA
Adarrus multinotatus;1;L;V;NA
Adela albicinctella;3;X;B;L1
Adela croesella;2;X;V;L1
Adela cuprella;1;X;B;L1
Adela mazzolella;3;F;B;L1
Adela violella;1;F;B;L1
Adelges lapponicus;6;B;G;NA
Adelges laricis;15;L;G;summer
Adelges tardoides;2;L;V;summer
Adelges tardus;4;B;G;NA
Adelphocoris falukei;2;L;V;NA
Adelphocoris lineolatus;83;L;V;NA
Adelphocoris quadripunctatus;4;L;V;NA
Adelphocoris reichelii;2;L;V;NA
Adelphocoris seticornis;13;L;V;NA
Adelphocoris ticinensis;7;L;V;NA
Adelphocoris vandalicus;24;L;V;NA
Adelphophylus balcanicus;1;L;V;NA
Adelphophylus oenderi;1;L;V;NA
Adiscodiaspis ericicola;3;S;SC;NA
Adomerus biguttatus;9;L;V;NA
Adosomus roridus;4;R;B;larva
Adoxophyes orana;41;L;H;NA
Adscita albanica;2;L;V;NA
Adscita alpina;1;L;V;NA
Adscita bolivari;4;L;V;NA
Adscita dujardini;1;L;V;NA
Adscita geryon;7;L;M;NA
Adscita italica;1;L;V;NA
Adscita jordani;1;L;V;NA
Adscita mannii;2;L;V;NA
Adscita obscura;4;L;V;NA
Adscita schmidti;4;L;V;NA
Adscita statices;6;L;M;NA
Aecidium aposeridis;1;L;P;01
Aecidium asparagacearum;1;L;P;01
Aecidium asperifolii;9;L;P;01
Aecidium belladonnae;1;L;P;01
Aecidium bubakii;1;L;F;NA
Aecidium cannabis;1;L;P;01
Aecidium cardui;1;L;P;01
Aecidium clematidis;3;L;P;01
Aecidium crepidis-incarnatae;1;L;P;01
Aecidium endressiae;1;L;P;01
Aecidium erodii-cicutarii;1;L;P;01
Aecidium euphorbiae;8;L;P;01
Aecidium haussknechtianum;1;L;P;01
Aecidium inulae-helenii;1;L;P;01
Aecidium jurisicii;1;L;P;01
Aecidium kuepferi;1;L;G;NA
Aecidium laserpitii-sileris;1;L;P;01
Aecidium leontices;1;L;P;01
Aecidium macedonicum;1;L;P;01
Aecidium marcii;1;L;P;01
Aecidium molluginis;1;L;P;01
Aecidium montagnei;1;L;P;1
Aecidium muscari;2;L;P;01
Aecidium otitis;2;L;P;01
Aecidium pardalianches;2;L;P;01
Aecidium parthenii;1;L;P;1
Aecidium petasitidis;3;L;P;01
Aecidium petroselini-sativi;1;L;P;01
Aecidium peucedani-raiblensis;1;L;P;01
Aecidium philippianum;2;L;P;01
Aecidium phlomidis;1;L;P;01
Aecidium punicum;1;L;P;01
Aecidium ranunculi-acris;16;L;P;01
Aecidium scabiosae;3;L;P;01
Aecidium schroeppelianum;1;L;P;01
Aecidium senecionis-crispati;1;L;P;01
Aecidium senecionis-macrophylli;1;L;P;01
Aecidium succisae;4;L;P;01
Aecidium teucrii-scorodoniae;1;L;P;01
Aecidium thalictri;5;L;P;01
Aecidium thysselini;1;L;P;01
Aecidium tranzschelianum;1;L;P;01
Aecidium umbilici;1;L;P;01
Aecidium virgatum;1;L;P;01
Aedia funesta;2;L;V;NA
Aedia leucomelas;6;L;V;NA
Aedophron phlebophora;1;L;V;NA
Aedophron rhodites;1;F;V;NA
Aegle kaekeritziana;1;F;V;NA
Aegle semicana;1;L;V;NA
Aegomorphus clavipes;23;DW;B;NA
Aegomorphus jaspideus;2;DW;B;NA
Aegomorphus krueperi;2;DW;B;NA
Aegomorphus wojtylai;1;DW;B;NA
Aegosoma scabricorne;49;DW;B;NA
Aegyptobia aletes;5;L;V;NA
Aegyptobia aliartensis;1;L;V;NA
Aegyptobia beglarovi;2;L;V;NA
Aegyptobia bozaii;1;L;V;NA
Aegyptobia cupressus;1;L;V;NA
Aegyptobia exarata;1;L;V;NA
Aegyptobia karystensis;1;L;V;NA
Aegyptobia leiahensis;2;L;V;NA
Aegyptobia mccormicki;3;L;V;NA
Aegyptobia salisicola;2;L;V;NA
Aegyptobia villiensis;1;L;V;NA
Aegyptobia wainsteini;1;L;V;NA
Aelia acuminata;26;X;V;NA
Aelia albovittata;6;X;V;NA
Aelia alticola;3;X;V;NA
Aelia cribrosa;1;X;V;NA
Aelia furcula;1;X;V;NA
Aelia germari;2;X;V;NA
Aelia klugii;5;X;V;NA
Aelia rostrata;9;X;V;NA
Aelia virgata;1;X;V;NA
Aellopus atratus;5;F;V;NA
Aeolothrips albicinctus;12;L;Pre;NA
Aeolothrips astutus;3;X;H;NA
Aeolothrips bournieri;1;U;U;NA
Aeolothrips citricinctus;1;U;U;NA
Aeolothrips collaris;137;X;Pre;NA
Aeolothrips ericae;50;X;Pre;NA
Aeolothrips estebani;1;U;Pre;NA
Aeolothrips fasciatus;39;X;Pre;NA
Aeolothrips gloriosus;19;X;Pre;NA
Aeolothrips intermedius;209;X;Pre;NA
Aeolothrips linarius;4;X;Pre;NA
Aeolothrips melaleucus;35;X;Pre;NA
Aeolothrips melisi;4;X;P;NA
Aeolothrips pelikani;1;U;U;NA
Aeolothrips priesneri;3;X;H;NA
Aeolothrips propinquus;9;X;H;NA
Aeolothrips pulcher;1;X;H;NA
Aeolothrips pyrenaicus;15;U;U;NA
Aeolothrips quercicola;2;L;V;NA
Aeolothrips tauricus;1;U;U;NA
Aeolothrips tenuicornis;104;X;Pre;NA
Aeolothrips verbasci;4;X;H;NA
Aeolothrips versicolor;24;L;Pre;NA
Aeolothrips vittatus;6;L;Pre;NA
Aeoniacalles argillosus;1;S;B;NA
Aeoniacalles tabladoensis;1;S;B;NA
Aequsomatus annulatus;3;L;G;NA
Aeschremon disparalis;1;L;V;NA
Aeschrocnemis anatolica;2;L;V;imago
Aeschrocnemis rhilensis;1;L;V;imago
Aeschrocnemis serbica;3;L;V;imago
Aethalura punctulata;2;L;V;NA
Aethes ardezana;1;S;B;NA
Aethes aurofasciana;2;C;B;NA
Aethes beatricella;3;F;V;NA
Aethes bilbaensis;5;F;V;NA
Aethes cnicana;5;F;B;NA
Aethes conversana;1;U;U;NA
Aethes deaurana;2;S;B;NA
Aethes decimana;1;U;U;NA
Aethes deutschiana;3;F;B;NA
Aethes dilucidana;3;F;V;NA
Aethes fennicana;1;U;U;NA
Aethes flagellana;1;F;V;NA
Aethes francillana;10;F;V;NA
Aethes hartmanniana;4;R;B;NA
Aethes kasyi;1;U;U;NA
Aethes kindermanniana;3;F;V;NA
Aethes languidana;2;L;H;NA
Aethes margaritana;5;X;V;NA
Aethes margarotana;3;R;B;NA
Aethes mauritanica;1;U;U;NA
Aethes moribundana;2;X;B;NA
Aethes nefandana;1;U;U;NA
Aethes obscurana;1;X;H;NA
Aethes piercei;1;R;B;NA
Aethes rubigana;4;F;V;NA
Aethes sanguinana;1;S;B;NA
Aethes smeathmanniana;5;F;V;NA
Aethes tesserana;5;R;B;NA
Aethes triangulana;3;U;U;NA
Aethes williana;5;C;B;NA
Aetorhinella parviceps;1;NA;NA;NA
Afriberina tenietaria;2;L;V;NA
Afrogethes buduensis;3;X;B;NA
Afrogethes canariensis;1;X;B;NA
Afrogethes isoplexidis;2;X;B;NA
Afrogethes pectinatus;1;X;B;NA
Afrogethes planiusculus;4;X;B;NA
Afrogethes tristis;3;X;B;NA
Agallia brachyptera;6;L;V;NA
Agallia consobrina;1;L;V;NA
Agalmatium bilobum;7;S;V;NA
Agalmatium flavescens;5;S;V;NA
Agapanthia annularis;3;S;B;NA
Agapanthia asphodeli;7;U;B;NA
Agapanthia cardui;25;S;B;NA
Agapanthia coeruleipennnis;1;S;B;NA
Agapanthia cretica;1;S;B;NA
Agapanthia cynarae;6;S;B;NA
Agapanthia dahli;11;S;B;NA
Agapanthia frivaldszkyi;3;S;B;NA
Agapanthia gemella;1;S;B;NA
Agapanthia intermedia;3;S;B;NA
Agapanthia irrorata;12;S;B;NA
Agapanthia kirbyi;7;S;B;NA
Agapanthia lopadusae;2;S;B;NA
Agapanthia maculicornis;4;S;B;NA
Agapanthia naciyae;1;S;B;NA
Agapanthia osmanlis;4;S;B;NA
Agapanthia ozdikmeni;1;S;B;NA
Agapanthia papaverina;1;S;B;NA
Agapanthia pesarinii;3;S;B;NA
Agapanthia posti;1;S;B;NA
Agapanthia probsti;1;S;B;NA
Agapanthia rapuzzii;1;S;B;NA
Agapanthia renatae;2;S;B;NA
Agapanthia schurmanni;1;S;B;NA
Agapanthia sicula;4;S;B;NA
Agapanthia simplicicornis;1;S;B;NA
Agapanthia suturalis;12;S;B;NA
Agapanthia villosoviridescens;30;S;B;NA
Agapanthia violacea;13;S;B;NA
Agapanthia viti;1;S;B;NA
Agapanthia walteri;3;S;B;NA
Agapanthiola leucaspis;23;S;B;NA
Agapeta hamana;4;R;B;NA
Agapeta zoegana;7;R;B;NA
Agatharchus herrichi;1;L;V;NA
Agathomyia wankowiczii;1;X;G;NA
Agdistis adactyla;12;L;V;NA
Agdistis bennetii;7;L;V;NA
Agdistis bifurcatus;5;X;V;NA
Agdistis delicatulella;3;U;U;NA
Agdistis frankeniae;6;L;V;NA
Agdistis heydeni;2;L;V;NA
Agdistis intermedia;2;L;V;NA
Agdistis manicata;1;L;V;NA
Agdistis meridionalis;9;L;V;NA
Agdistis morini;1;L;V;NA
Agdistis neglecta;3;L;V;NA
Agdistis paralia;4;L;V;NA
Agdistis pseudocanariensis;1;L;V;NA
Agdistis salsolae;1;L;V;NA
Agdistis satanas;11;U;U;NA
Agdistis tamaricis;8;L;V;NA
Agelastica alni;3;L;V;NA
Aglais ichnusa;2;L;V;NA
Aglais io;3;L;V;NA
Aglais urticae;3;L;V;NA
Aglaope infausta;13;L;V;NA
Aglaostigma alpinum;2;L;V;NA
Aglaostigma aucupariae;3;L;V;NA
Aglaostigma discolor;3;L;V;NA
Aglaostigma fulvipes;3;L;V;NA
Aglaostigma langei;2;L;V;NA
Aglaostigma lichtwardti;2;L;V;NA
Aglaostigma nebulosum;3;L;V;NA
Aglia tau;16;L;V;NA
Agnocoris reclairei;9;L;V;NA
Agnocoris rubicundus;10;L;V;NA
Agonopterix adspersella;6;L;H;NA
Agonopterix alpigena;1;L;H;NA
Agonopterix alstromeriana;1;L;H;NA
Agonopterix angelicella;9;L;H;NA
Agonopterix arenella;15;L;M;NA
Agonopterix assimilella;4;L;H;NA
Agonopterix astrantiae;2;L;H;NA
Agonopterix atomella;5;L;H;NA
Agonopterix bipunctosa;1;L;H;NA
Agonopterix capreolella;4;L;H;NA
Agonopterix carduella;9;L;M;NA
Agonopterix carduncelli;1;L;H;NA
Agonopterix caucasiella;1;X;H;NA
Agonopterix cervariella;1;L;H;NA
Agonopterix chironiella;1;U;U;NA
Agonopterix ciliella;23;L;H;NA
Agonopterix cinerariae;3;L;H;NA
Agonopterix cnicella;3;L;H;NA
Agonopterix comitella;1;L;H;NA
Agonopterix conciliatella;3;U;U;NA
Agonopterix conterminella;4;L;H;NA
Agonopterix curvipunctosa;6;L;H;NA
Agonopterix dictamnephaga;1;L;H;NA
Agonopterix doronicella;2;L;H;NA
Agonopterix ferocella;4;L;M;NA
Agonopterix ferulae;1;U;U;NA
Agonopterix feruliphila;5;L;H;NA
Agonopterix flurii;4;L;H;NA
Agonopterix fruticosella;1;L;M;NA
Agonopterix furvella;1;L;H;NA
Agonopterix heracliana;15;L;H;NA
Agonopterix hippomarathri;5;L;H;NA
Agonopterix hypericella;1;L;H;NA
Agonopterix irrorata;1;L;H;NA
Agonopterix kaekeritziana;12;L;H;NA
Agonopterix kuznetzovi;1;L;M;NA
Agonopterix laterella;2;L;H;NA
Agonopterix lessini;2;U;U;NA
Agonopterix liturosa;3;L;H;NA
Agonopterix medelichensis;1;L;H;NA
Agonopterix mendesi;1;L;H;NA
Agonopterix multiplicella;1;L;H;NA
Agonopterix nanatella;2;L;M;NA
Agonopterix nanatella aridella;1;L;M;NA
Agonopterix nervosa;11;L;H;NA
Agonopterix nodiflorella;1;L;M;NA
Agonopterix ocellana;10;L;H;NA
Agonopterix olusatri;4;U;U;NA
Agonopterix orophilella;1;L;H;NA
Agonopterix pallorella;6;L;H;NA
Agonopterix paraselini;1;L;H;NA
Agonopterix parilella;5;L;H;NA
Agonopterix perezi;2;L;H;NA
Agonopterix petasitis;3;S;B;L1
Agonopterix propinquella;8;L;M;NA
Agonopterix pseudoferulae;1;U;U;NA
Agonopterix pupillana;1;U;U;NA
Agonopterix purpurea;5;L;M;NA
Agonopterix putridella;1;L;H;NA
Agonopterix rotundella;3;L;M;NA
Agonopterix rutana;4;L;H;NA
Agonopterix scopariella;9;L;H;NA
Agonopterix selini;5;L;H;NA
Agonopterix senecionis;6;L;M;NA
Agonopterix silerella;3;L;H;NA
Agonopterix straminella;2;S;B;NA
Agonopterix subpropinquella;21;L;M;NA
Agonopterix thapsiella;2;L;H;NA
Agonopterix tripunctaria;1;L;H;NA
Agonopterix umbellana;6;L;H;NA
Agonopterix vendettella;3;L;H;NA
Agonopterix yeatiana;8;L;H;NA
Agonoscena cisti;2;L;G;NA
Agonoscena pistaciae;5;L;G;NA
Agonoscena succincta;6;L;G;NA
Agonoscena targionii;5;L;G;NA
Agonum muelleri;2;seeds;V;NA
Agramma atricapillum;6;L;V;NA
Agramma confusum;3;L;V;NA
Agramma laetum;4;L;V;NA
Agramma minutum;5;L;V;NA
Agramma ruficorne;2;L;V;NA
Agrilus albogularis;5;R;B;NA
Agrilus albomarginatus;1;S;B;NA
Agrilus angustulus;23;S;B;NA
Agrilus antiquus;8;R;B;NA
Agrilus ater;5;S;B;NA
Agrilus auricollis;5;S;B;NA
Agrilus beauprei;1;S;B;NA
Agrilus betuleti;3;S;B;NA
Agrilus biguttatus;13;S;B;NA
Agrilus buresi;1;S;B;NA
Agrilus chlorophyllus;1;S;B;NA
Agrilus cinctus;6;C;G;NA
Agrilus convexicollis;9;S;B;NA
Agrilus croaticus;6;S;B;NA
Agrilus cuprescens;13;S;G;NA
Agrilus curtulus;3;S;B;NA
Agrilus cyanescens;9;S;B;NA
Agrilus cytisi;1;S;B;NA
Agrilus delphinensis;4;S;B;NA
Agrilus derasofasciatus;3;S;B;NA
Agrilus elegans;12;R;B;NA
Agrilus etruscus;1;R;B;NA
Agrilus gianassoi;1;S;B;NA
Agrilus graminis;16;S;B;NA
Agrilus grandiceps;4;S;B;NA
Agrilus guerini;8;S;B;NA
Agrilus hastulifer;20;S;B;NA
Agrilus hastuliformis;1;S;B;NA
Agrilus hyperici;2;R;B;NA
Agrilus integerrimus;4;S;B;NA
Agrilus jacetanus;1;S;B;NA
Agrilus kaluganus;2;S;B;NA
Agrilus kubani;1;S;B;NA
Agrilus kutahyanus;1;S;B;NA
Agrilus laticornis;10;S;B;NA
Agrilus lineola;3;S;B;NA
Agrilus litura;5;S;B;NA
Agrilus macroderus;7;S;B;NA
Agrilus margotanae;2;S;B;NA
Agrilus marozzini;1;S;B;NA
Agrilus marozzinii;2;S;B;NA
Agrilus mendax;3;S;B;NA
Agrilus moriscus;2;S;B;NA
Agrilus obscuricollis;12;S;B;NA
Agrilus olivicolor;7;S;B;NA
Agrilus perisi;2;S;B;NA
Agrilus planipennis;1;S;B;NA
Agrilus pratensis;5;S;B;NA
Agrilus pseudocyaneus;1;S;B;NA
Agrilus pulvereus;1;S;B;NA
Agrilus relegatoides;1;S;B;NA
Agrilus relegatus;2;S;B;NA
Agrilus rhoos;1;S;B;NA
Agrilus ribesi;5;S;B;NA
Agrilus roscidus;29;S;B;NA
Agrilus rosei;1;S;B;NA
Agrilus salicis;5;S;B;NA
Agrilus scythicus;1;S;B;NA
Agrilus sericans;3;R;B;NA
Agrilus sinuatus;14;S;B;NA
Agrilus solieri;6;S;B;NA
Agrilus subauratus;6;S;B;NA
Agrilus sulcicollis;9;S;B;NA
Agrilus suvorovi;6;S;B;NA
Agrilus sylviae;3;S;B;NA
Agrilus uhagoni;4;S;B;NA
Agrilus vaginalis;3;R;B;NA
Agrilus viridicaerulans;5;S;B;NA
Agrilus viridis;26;S;B;NA
Agrilus viscivorus;2;S;B;NA
Agrilus zigzag;1;R;B;NA
Agriopis aurantiaria;30;L;V;NA
Agriopis bajaria;18;L;V;NA
Agriopis beschkovi;2;L;V;NA
Agriopis leucophaearia;15;L;V;NA
Agriopis marginaria;28;L;V;NA
Agriphila deliella;3;L;H;NA
Agriphila geniculea;2;L;H;NA
Agriphila inquinatella;1;L;H;NA
Agriphila latistria;1;L;H;NA
Agriphila selasella;5;C;H;NA
Agriphila straminella;1;L;H;NA
Agriphila tristella;5;L;H;NA
Agrius convolvuli;15;L;V;NA
Agrobacterium tumefaciens;31;S;G;NA
Agrochola blidaensis;12;L;B;NA
Agrochola circellaris;9;X;V;NA
Agrochola haematidea;4;X;V;NA
Agrochola helvola;17;L;V;NA
Agrochola humilis;5;L;V;NA
Agrochola laevis;5;L;V;NA
Agrochola litura;15;L;V;NA
Agrochola lota;9;L;H;NA
Agrochola lunosa;3;L;V;NA
Agrochola lychnidis;16;L;V;NA
Agrochola macilenta;12;L;V;NA
Agrochola nitida;10;L;V;NA
Agrochola osthelderi;1;L;V;NA
Agrochola rupicapra;4;L;V;NA
Agromyza abiens;42;L;M;NA
Agromyza albipennis;23;L;M;NA
Agromyza albitarsis;15;L;M;NA
Agromyza alnibetulae;2;L;M;NA
Agromyza alnivora;2;L;M;NA
Agromyza alunulata;1;L;M;NA
Agromyza ambigua;8;L;M;NA
Agromyza anthracina;4;L;M;NA
Agromyza apfelbecki;5;L;M;NA
Agromyza baetica;1;L;M;NA
Agromyza bicophaga;12;L;M;NA
Agromyza bromi;2;U;U;NA
Agromyza brunnicosa;1;L;M;NA
Agromyza cinerascens;2;L;M;NA
Agromyza demeijerei;4;L;M;NA
Agromyza dipsaci;2;L;M;NA
Agromyza drepanura;1;L;M;NA
Agromyza erodii;1;L;M;NA
Agromyza erythrocephala;5;L;M;NA
Agromyza felleri;1;L;M;NA
Agromyza ferruginosa;3;L;M;NA
Agromyza filipendulae;1;L;M;NA
Agromyza flaviceps;2;L;M;NA
Agromyza flavipennis;5;L;M;NA
Agromyza frontella;10;L;M;NA
Agromyza graminicola;2;L;M;NA
Agromyza hendeli;3;L;M;NA
Agromyza heraclei;1;L;M;NA
Agromyza hiemalis;2;U;M;NA
Agromyza idaeiana;44;L;M;NA
Agromyza igniceps;1;L;M;NA
Agromyza intermittens;4;L;M;NA
Agromyza johannae;6;L;M;NA
Agromyza kiefferi;1;S;G;NA
Agromyza lathyri;13;L;M;NA
Agromyza lithospermi;2;L;M;NA
Agromyza lucida;4;L;M;NA
Agromyza luteifrons;1;L;M;NA
Agromyza luteitarsis;3;L;M;NA
Agromyza marionae;2;S;M;NA
Agromyza megalopsis;4;L;M;NA
Agromyza mobilis;19;L;M;NA
Agromyza myosotidis;7;L;M;NA
Agromyza nana;33;L;M;NA
Agromyza nigrella;21;L;M;NA
Agromyza nigrescens;14;L;M;NA
Agromyza nigripes;11;L;M;NA
Agromyza nigrociliata;11;L;M;NA
Agromyza orobi;7;L;M;NA
Agromyza oryzae;2;L;M;NA
Agromyza phragmitidis;1;L;M;NA
Agromyza pittodes;1;L;M;NA
Agromyza polygoni;1;L;M;NA
Agromyza prespana;1;L;M;NA
Agromyza pseudoreptans;3;L;M;NA
Agromyza pseudorufipes;2;L;M;NA
Agromyza pulla;5;L;M;NA
Agromyza reptans;4;L;M;NA
Agromyza rondensis;13;L;M;NA
Agromyza rozkosnyi;1;L;M;NA
Agromyza rufipes;1;L;M;NA
Agromyza salicina;2;L;M;NA
Agromyza spenceri;1;L;M;NA
Agromyza spiraeoidearum;6;L;M;NA
Agromyza sulfuriceps;9;L;M;NA
Agromyza trebinjensis;1;L;M;NA
Agromyza varicornis;2;L;M;NA
Agromyza viciae;4;L;M;NA
Agromyza vicifoliae;3;L;M;NA
Agromyza woerzi;2;L;M;NA
Agrostothrips meridionalis;3;U;U;NA
Agrotera nemoralis;4;L;H;NA
Agrotis alexandriensis;1;R;V;NA
Agrotis bigramma;2;L;V;NA
Agrotis boetica;5;R;V;NA
Agrotis cinerea;5;R;V;NA
Agrotis desertorum;1;F;V;NA
Agrotis exclamationis;11;R;V;NA
Agrotis fatidica;1;U;U;NA
Agrotis herzogi;1;R;V;NA
Agrotis ipsilon;11;R;V;NA
Agrotis lanzarotensis;2;C;V;NA
Agrotis puta;9;R;V;NA
Agrotis ripae;3;R;V;NA
Agrotis segetum;19;R;V;NA
Agrotis trux;1;R;V;NA
Aguriahana pictilis;1;L;V;NA
Aguriahana stellulata;9;L;V;NA
Aizobius sedi;8;L;BM;NA
Akbesia davidi;4;L;V;NA
Akimerus schaefferi;6;DW;B;NA
Akotropis quercicola;1;L;V;NA
Albana m-griseum;5;DW;B;NA
Albarracina warionis;2;L;V;NA
Albugo candida;165;L;P;NA
Albugo capparis;1;L;P;NA
Albugo convolvulacearum;3;L;P;NA
Albugo eurotiae;1;L;P;NA
Albugo hohenheimia;1;L;P;NA
Albugo ipomoeae-panduratae;2;L;P;NA
Albugo laibachii;2;L;G;NA
Albugo leimonia;2;L;P;NA
Albugo lepidii;11;L;P;NA
Albugo lepigoni;4;L;P;NA
Albugo resedae;1;L;P;NA
Albugo rorippae;4;L;P;NA
Albugo trianthemae;2;L;P;NA
Alcis bastelbergeri;6;L;V;NA
Alcis repandata;50;L;V;NA
Alebra albostriella;6;L;V;NA
Alebra coryli;4;L;V;NA
Alebra neglecta;4;L;V;NA
Alebra sorbi;1;L;V;NA
Alebra viridis;6;L;V;NA
Alebra wahlbergi;14;L;V;NA
Aleimma loeflingiana;3;L;V;NA
Aleucis distinctata;4;L;V;NA
Aleurocanthus spiniferus;20;L;SC;NA
Aleurochiton acerinus;3;L;SC;NA
Aleurochiton aceris;3;L;SC;NA
Aleurochiton pseudoplatani;3;L;SC;NA
Aleuroclava aucubae;19;L;SC;NA
Aleuroclava jasmini;2;L;SC;NA
Aleuroclava similis;6;L;SC;NA
Aleurodicus dispersus;58;L;SC;NA
Aleurodicus floccissimus;68;L;SC;NA
Aleurolobus marlatti;2;L;SC;NA
Aleurolobus olivinus;4;L;SC;NA
Aleurolobus teucrii;1;L;SC;NA
Aleurolobus wunni;13;L;SC;NA
Aleuroplatus perseaphagus;3;L;SC;NA
Aleurothrixus floccosus;14;L;SC;NA
Aleurotrachelus atratus;4;L;SC;NA
Aleurotrachelus globulariae;1;L;SC;NA
Aleurotrachelus rhamnicola;9;L;SC;NA
Aleurotuba jelinekii;6;L;SC;NA
Aleurotulus nephrolepidis;8;L;SC;NA
Aleuroviggianus adanaensis;1;L;SC;NA
Aleuroviggianus adrianae;4;L;SC;NA
Aleuroviggianus graecus;1;L;SC;NA
Aleuroviggianus halperini;3;L;SC;NA
Aleuroviggianus polymorphus;4;L;SC;NA
Aleuroviggianus zonalus;1;L;SC;NA
Aleyrodes asari;1;L;SC;NA
Aleyrodes bencomiae;1;L;SC;NA
Aleyrodes elevatus;3;L;SC;NA
Aleyrodes laurisilvae;2;L;SC;NA
Aleyrodes lonicerae;80;L;SC;NA
Aleyrodes proletella;32;L;SC;NA
Allantophomopsiella pseudotsugae;6;S;CA;NA
Allantus basalis;3;L;V;NA
Allantus calceatus;8;L;V;NA
Allantus cinctus;4;L;V;NA
Allantus cingillum;3;L;V;NA
Allantus cingulatus;2;L;V;NA
Allantus coryli;1;L;V;NA
Allantus coxalis;1;L;V;NA
Allantus didymus;1;L;V;NA
Allantus enslini;1;L;V;NA
Allantus laticinctus;6;L;V;NA
Allantus melanarius;2;L;V;NA
Allantus rufocinctus;3;L;V;NA
Allantus togatus;6;L;V;NA
Allantus truncatus;7;L;V;NA
Allantus viennensis;7;L;V;NA
Allaphis cyperi;3;L;V;NA
Allaphis cyperi amurensis;1;L;V;NA
Allaphis ossiannilssoni;4;L;V;NA
Allaphis producta;8;L;V;NA
Allaphis verrucosa;5;L;V;NA
Allelochaeta kriegeriana;1;L;F;NA
Alloclemensia mesospilella;4;L;M;NA
Alloclita canariensis;1;U;U;NA
Alloclita francoeuriae;1;U;U;NA
Alloclita recisella;1;L;H;NA
Allocotaphis quaestionis;2;L;G;spring
Alloeomimus kurdus;2;L;V;NA
